,City,Country,Latitude,Longitude,Temperature,Humidity,Cloudiness,Wind Speed
72,igbaras,PH,10.7157,122.2657,77.67,91,100,6.58
73,shumerlya,RU,55.5005,46.4129,57.83,72,11,3.22
74,tagkawayan,PH,13.9657,122.5394,78.37,92,100,5.23
75,massapequa,US,40.6807,-73.4743,87.4,49,1,5.99
76,gatehouse of fleet,GB,54.882,-4.1843,62.82,91,100,8.84
77,chapeltown,GB,53.4651,-1.4722,63.59,82,100,4.29
78,vaasa,FI,63.096,21.6158,74.26,53,0,5.75
79,whitehall,US,39.9667,-82.8855,88.52,42,1,6.91
80,samus,RU,56.7475,84.6992,54.88,71,100,3.4
81,otta,NO,61.7712,9.5353,62.76,93,100,2.98
82,hovtashen,AM,40.0251,44.4513,82.72,39,20,17.27
83,marietta,US,33.9526,-84.5499,89.62,63,75,0.0
84,maesteg,GB,51.6093,-3.6582,62.64,80,100,7.92
85,makushino,RU,55.2103,67.2442,59.36,74,58,7.81
86,yaonahuac,MX,19.8667,-97.45,70.92,65,100,8.43
87,horka nad moravou,CZ,49.6401,17.2107,72.1,83,25,3.27
88,bretten,DE,49.0392,8.7028,71.19,92,100,5.68
89,kutahya,TR,39.4242,29.9833,71.55,68,0,4.09
90,tiruvallur,IN,13.15,79.9167,83.84,52,100,15.03
91,san jose de buan,PH,12.0529,125.0251,76.03,89,100,3.96
92,novaya tavolzhanka,RU,50.3512,36.8298,78.22,45,5,3.98
93,ramsey,US,45.0333,-93.0835,90.93,56,1,3.0
94,atyashevo,RU,54.5644,46.0691,60.3,71,22,4.18
95,tenango de arista,MX,19.1017,-99.5931,67.87,67,99,3.06
96,zgorzelec,PL,51.1494,15.0084,70.52,75,100,2.04
97,high river,CA,50.5834,-113.8687,74.66,29,100,8.7
98,urbiztondo,PH,15.8227,120.3295,78.64,88,100,0.63
99,trincomalee,LK,8.5711,81.2335,81.01,79,99,22.86
100,contesti,RO,43.8,25.4833,75.65,42,0,6.73
101,plan-de-cuques,FR,43.3475,5.464,73.94,58,5,2.86
102,santa cruz de las flores,MX,20.4833,-103.5,77.16,36,49,4.45
103,pangabuan,PH,8.0569,123.6958,76.21,94,100,2.35
104,baroy,PH,8.0269,123.7784,76.51,94,100,2.73
105,bad camberg,DE,50.3,8.2667,65.48,90,100,4.29
106,bavleny,RU,56.4,39.56,64.36,68,71,0.74
107,bang sao thong,TH,13.595,100.8304,81.91,83,20,4.61
108,dhekiajuli,IN,26.7,92.5,79.61,91,100,4.76
110,rome,US,34.257,-85.1647,90.88,64,40,4.61
111,vozhega,RU,60.4725,40.2213,52.11,68,17,2.26
112,beled,HU,47.4659,17.0929,78.1,55,53,8.1
113,orasje,BA,45.0356,18.6933,80.38,45,36,4.5
116,vaires-sur-marne,FR,48.8765,2.6398,64.53,87,75,10.36
117,butterworth,MY,5.3991,100.3638,82.63,83,20,4.61
118,west palm beach,US,26.7153,-80.0534,90.99,70,40,1.99
120,iksha,RU,56.1667,37.5167,71.78,56,55,4.65
121,yalutorovsk,RU,56.6536,66.3006,54.57,88,33,5.12
122,sirsa,IN,29.5333,75.0167,80.6,90,100,12.5
123,lokachi,UA,50.737,24.6494,69.75,88,62,4.76
124,weeze,DE,51.6268,6.1979,63.27,94,40,3.0
125,forasti,RO,47.35,26.4667,75.29,73,0,3.62
127,ayapa,MX,18.1833,-93.1667,88.07,61,99,8.72
129,cuzaplac,RO,46.9667,23.2,75.51,56,73,5.1
130,barakpur,IN,22.7614,88.3719,84.13,89,75,6.91
131,schwarzenberg,DE,50.55,12.7833,67.33,81,99,3.06
132,chongqing,CN,29.5628,106.5528,80.92,83,0,0.0
133,timucuy,MX,20.8167,-89.5167,97.95,31,68,1.83
134,macarse,PH,15.4243,120.7781,77.67,89,100,3.6
135,yotoco,CO,3.8605,-76.3836,63.82,62,93,0.34
136,crystal beach,CA,42.8699,-79.0583,74.73,86,99,1.01
137,helena,US,46.5927,-112.0361,92.86,22,1,5.01
138,mount holly,US,35.2982,-81.0159,91.6,58,40,1.99
139,ruthen,DE,51.4909,8.436,59.85,88,0,3.44
141,audincourt,FR,47.4833,6.8534,65.93,98,96,6.38
142,ciceu-giurgesti,RO,47.25,24.0167,75.09,61,10,2.21
143,el rincon,HN,14.5833,-87.9333,80.44,50,82,5.73
144,rio muerto,MX,27.4167,-110.2333,95.52,34,32,9.93
145,challakere,IN,14.3167,76.65,71.92,82,100,17.02
146,san ignacio,BZ,17.1561,-89.0714,93.34,49,40,0.0
147,poceirao,PT,38.831,-8.7937,70.43,66,0,14.56
148,liberta,AG,17.0333,-61.7833,82.76,61,40,8.01
151,frutigen,CH,46.5878,7.6475,63.41,92,95,3.58
152,cavite,PH,14.4825,120.9169,79.52,90,90,9.22
153,delyatyn,UA,48.5235,24.6247,70.52,63,18,5.17
154,pontevedra,ES,42.431,-8.6444,70.54,73,0,6.15
156,dulag,PH,10.9525,125.0317,83.05,73,94,10.63
157,obernkirchen,DE,52.2721,9.1291,63.88,85,75,3.44
158,satchinez,RO,45.9375,21.0406,75.31,33,65,3.94
160,afyonkarahisar,TR,38.75,30.6667,69.76,53,0,13.24
161,abernethy,GB,56.3325,-3.3123,62.65,88,100,7.0
162,bryan,US,30.6744,-96.37,93.61,53,1,0.0
163,khomutovo,RU,52.4658,104.4025,57.81,78,6,2.51
164,bohl-iggelheim,DE,49.3806,8.3039,67.89,83,100,5.99
165,ehingen,DE,48.2826,9.7275,65.35,80,75,5.75
166,stromness,GB,58.965,-3.296,57.16,88,100,8.03
169,bara,NG,10.3744,10.7288,72.73,92,100,8.43
170,sevasti,GR,40.3595,22.5447,79.5,82,0,3.49
171,akniste,LV,56.1615,25.7478,64.83,98,100,4.63
172,mus,TR,39.0,41.75,69.87,35,0,6.49
173,alfonso,PH,14.1408,120.8539,74.39,92,100,14.47
174,gyorszemere,HU,47.5526,17.5636,77.94,51,99,5.77
175,stollberg,DE,50.7167,12.8,66.2,73,100,4.09
176,fadd,HU,46.4648,18.8193,80.94,40,56,7.67
177,wingham,CA,43.8879,-81.3114,73.04,73,23,10.38
178,mirpur khas,PK,25.5251,69.0159,83.8,74,100,21.99
179,lemery,PH,11.2258,122.9275,79.2,79,100,15.3
180,senahu,GT,15.4,-89.8333,81.9,43,33,4.76
181,bauchi,NG,10.5,10.0,68.65,96,100,4.83
182,korba,IN,22.35,82.6833,74.26,96,100,6.08
184,north providence,US,41.8501,-71.4662,87.51,45,40,5.99
185,sumpango,GT,14.6464,-90.7339,76.93,53,29,4.23
186,san fernando,PH,15.0286,120.6898,81.3,88,100,8.32
188,fort pierce,US,27.4467,-80.3256,87.78,68,75,8.01
189,sipovo,BA,44.2814,17.0839,80.44,52,55,5.35
190,kohat,PK,33.582,71.4493,82.47,55,73,10.96
191,hrusovany u brna,CZ,49.0386,16.5943,74.73,67,0,5.75
192,zaidpur,IN,26.8333,81.3333,78.87,86,90,2.15
193,fushun,CN,41.8558,123.9233,74.91,90,100,1.23
194,dabuleni,RO,43.8,24.0833,84.58,35,0,7.16
195,lancaster,US,40.2504,-76.2499,89.22,43,1,5.01
196,san juan atitan,GT,15.4333,-91.6333,76.21,47,45,3.53
197,natick,US,42.2834,-71.3495,87.69,43,40,1.99
198,bobota,RO,47.3833,22.7667,76.3,52,67,4.25
199,herzogenburg,AT,48.2905,15.7314,74.25,73,36,1.01
200,yerres,FR,48.7179,2.4934,64.18,90,75,1.01
201,sonqor,IR,34.7837,47.6004,85.01,16,40,3.36
202,cagdianao,PH,9.9211,125.6692,83.89,76,89,12.53
203,choszczno,PL,53.169,15.4205,72.1,74,99,6.38
204,gerstetten,DE,48.6333,10.0333,64.49,88,100,6.02
205,evangelista,PH,13.3335,121.0972,80.06,86,100,5.26
206,oconomowoc,US,43.1117,-88.4993,85.96,54,1,9.22
207,alekseyevsk,RU,57.8406,108.3492,63.3,65,0,1.25
208,gjellerup kirkeby,DK,56.1434,9.0499,63.54,94,75,5.75
209,derry,GB,54.9981,-7.3093,58.73,94,75,3.44
211,ware,GB,51.8126,-0.0283,64.94,81,75,1.01
212,lepley,RU,54.3092,42.8599,64.65,62,62,2.17
213,romanu,RO,45.2833,27.7333,78.84,46,1,8.25
214,neath,GB,51.6632,-3.8044,63.68,81,100,6.62
215,almendralejo,ES,38.6832,-6.4075,88.11,31,0,7.0
216,casanayan,PH,11.5169,123.0512,81.37,75,100,17.31
217,sulaco,HN,14.9167,-87.2667,92.64,53,93,5.75
218,southglenn,US,39.5872,-104.9528,90.9,22,20,1.99
220,gornja radgona,SI,46.6733,15.9922,73.35,64,45,6.42
221,kevsala,RU,45.7983,42.6903,64.69,63,100,6.87
222,qandala,SO,11.472,49.8728,88.0,51,4,16.91
224,cabano,PH,10.5869,122.7002,81.99,79,100,16.33
225,orvieto,IT,42.7195,12.1116,73.49,63,59,1.01
226,lerici,IT,44.0759,9.9112,76.98,87,20,4.61
227,putineiu,RO,43.9,25.7333,79.9,43,0,6.96
228,safidon,IN,29.4167,76.6667,79.09,97,100,5.93
229,dhemaji,IN,27.4833,94.5833,78.22,88,97,3.27
230,agua buena,PA,7.8167,-80.4,83.34,76,87,7.25
231,tizapan el alto,MX,20.1667,-103.0667,77.05,52,99,3.56
232,kamenz,DE,51.268,14.0937,70.61,72,100,3.15
233,sovetskiy,RU,61.3614,63.5842,46.71,70,86,5.53
234,le mont-sur-lausanne,CH,46.5582,6.6315,63.86,74,86,1.66
237,inobulan,PH,8.8864,124.7947,79.18,72,99,6.4
238,hemer,DE,51.3833,7.7667,61.18,91,20,6.91
239,portsmouth,GB,50.799,-1.0913,64.0,86,50,7.0
240,am timan,TD,11.0297,20.2827,71.33,93,100,6.93
242,detchino,RU,54.8092,36.3075,64.85,86,55,4.56
243,ukwa,IN,21.9667,80.4667,70.66,98,100,5.35
245,russell,US,32.3502,-85.1999,87.71,70,40,6.91
246,simonesti,RO,46.3333,25.1,71.56,66,35,3.49
248,jining,CN,35.405,116.5814,75.99,1,100,13.89
249,murmansk,RU,68.0,34.0,54.66,66,64,4.85
250,shaikhpura,IN,25.15,85.85,81.93,83,100,6.29
251,pitalito,CO,1.8497,-76.0479,69.48,84,78,2.17
252,kosa,RU,59.9445,54.9977,46.08,85,79,8.14
254,santo tomas,PH,14.1079,121.1414,77.85,89,100,9.28
255,garsten,AT,47.9987,14.4035,66.65,82,100,4.05
256,bridgton,US,44.0548,-70.7128,78.13,64,100,8.9
257,aquin,HT,18.2833,-73.4,85.78,69,99,6.64
258,chinar,RU,42.108,48.1432,73.94,73,99,12.15
260,mababanaba,PH,15.4972,120.4605,76.6,87,95,3.44
261,gyongyossolymos,HU,47.8172,19.9362,75.96,57,22,2.04
262,mynay,UA,48.5833,22.2833,72.64,65,66,2.95
263,beltinci,SI,46.6053,16.2406,72.43,57,77,7.43
264,rajapalaiyam,IN,9.45,77.5667,80.17,66,100,7.92
265,charleroi,BE,50.413,4.4465,62.53,88,75,12.66
266,sovetskoye,RU,52.2861,85.4131,52.09,82,0,1.07
267,borsec,RO,46.95,25.5667,62.2,79,7,2.06
269,bosansko grahovo,BA,44.1794,16.3639,75.63,47,99,4.38
270,lapinig,PH,12.3151,125.3032,79.75,80,99,6.76
271,vratimov,CZ,49.77,18.3102,73.9,60,0,1.99
272,serov,RU,59.6033,60.5787,44.62,81,35,5.95
273,valea moldovei,RO,47.4667,26.0333,75.83,67,2,5.68
275,woodbury,US,42.3833,-96.0336,94.3,35,11,11.9
276,springside,GB,55.6167,-4.6,63.28,79,75,9.22
277,lugazi,UG,0.3772,32.9197,71.28,76,42,1.72
278,jinxi,CN,30.4323,116.2922,77.25,93,86,6.38
279,svogerslev,DK,55.6342,12.0147,68.54,74,90,5.75
282,berehove,UA,48.2056,22.6442,77.07,56,46,3.98
283,sawankhalok,TH,17.316,99.8319,82.81,80,100,9.24
284,paatan,PH,7.1197,124.9239,74.91,95,100,0.74
285,palenque,MX,17.5167,-91.9667,90.18,60,37,6.26
286,tikamgarh,IN,24.745,78.8333,75.24,93,100,12.91
287,chima,IN,30.6854,76.0863,78.8,96,100,7.2
288,jish,IL,33.0222,35.4469,71.28,72,0,6.2
289,affery,CI,6.315,-3.9603,71.53,96,100,3.2
290,pietroasa,RO,46.5833,22.55,74.32,54,99,5.73
291,paks,HU,46.6265,18.8596,81.05,40,77,8.16
292,aygeshat,AM,40.0764,44.058,82.33,44,29,12.12
293,bourg-les-valence,FR,44.956,4.9102,76.26,53,47,1.88
294,anta,IN,25.15,76.3,78.67,85,100,13.49
295,dimayon,PH,8.0667,124.15,71.49,87,100,6.91
296,tiszaujvaros,HU,47.9333,21.0833,80.76,58,39,3.83
299,el progreso,HN,15.4,-87.8,92.95,43,40,9.22
300,puntilla aldama,MX,20.1833,-96.9167,91.63,49,100,10.76
302,jambusar,IN,22.05,72.8,81.99,80,100,16.8
303,namboongan,PH,16.3033,120.3758,79.9,89,100,5.66
304,viperesti,RO,45.2333,26.4667,73.11,61,3,3.44
305,ghatsila,IN,22.6,86.4833,77.4,91,100,12.68
306,igpit,PH,8.5108,124.5867,79.99,77,100,4.56
307,ridgecrest,US,35.6225,-117.6709,93.99,34,20,3.0
308,ayorou,NE,14.7308,0.9174,89.04,49,100,8.3
309,solofra,IT,40.8295,14.8419,78.82,58,62,2.33
310,bac lieu,VN,9.285,105.7244,79.97,82,5,11.36
311,bracebridge,CA,45.0334,-79.3163,74.28,68,75,10.36
312,worland,US,44.0169,-107.9554,98.64,21,1,1.99
313,tsubame,JP,37.65,138.9333,69.91,93,70,5.21
314,tenancingo,MX,19.1472,-98.1806,72.77,39,100,1.36
315,karamursel,TR,40.6914,29.6157,76.66,77,0,5.99
316,porto torres,IT,40.835,8.3972,78.98,72,1,3.83
317,portland,US,45.5234,-122.6762,80.6,49,75,1.99
318,volovo,UA,48.5246,23.5056,70.56,74,82,2.57
319,kallithiron,GR,39.2817,21.9061,78.22,34,0,2.08
320,chajul,GT,15.4853,-91.0342,78.84,50,62,7.45
321,metsavan,AM,41.2016,44.2288,65.64,89,21,3.85
322,metepec,MX,19.2536,-99.6078,67.66,37,40,8.05
323,aurora,US,39.7294,-104.8319,91.49,24,20,3.0
324,azuqueca de henares,ES,40.5669,-3.2599,85.95,27,0,9.22
325,bingen,DE,48.1113,9.2724,63.32,97,100,6.06
326,kodungallur,IN,10.2167,76.2167,77.0,94,54,2.04
328,zinacatepec,MX,18.3333,-97.25,85.71,33,83,6.93
329,okrisky,CZ,49.2454,15.7696,70.39,78,98,2.1
330,tirunelveli,IN,8.7333,77.7,82.27,65,100,11.34
331,flores,GT,16.9226,-89.8994,97.07,33,25,2.08
332,dormagen,DE,51.1,6.8333,63.16,93,100,6.29
333,syriam,MM,16.7722,96.2378,75.31,100,90,11.5
334,insar,RU,53.8653,44.3738,63.3,68,40,1.95
335,ezerelis,LT,54.8833,23.6167,71.67,95,83,6.46
336,velsen,NL,52.46,4.65,62.1,89,20,4.0
337,bartlett,US,35.2045,-89.874,92.64,68,75,1.99
338,fountain valley,US,33.7092,-117.9537,80.4,66,20,8.99
339,limot,PH,7.0405,126.2727,78.66,87,100,3.36
340,karad,IN,17.2833,74.2,72.66,85,99,13.8
341,jefferson,US,38.1834,-85.65,90.93,42,1,1.99
342,workington,GB,54.6425,-3.5441,62.82,89,98,9.69
343,san patricio,US,28.017,-97.5169,91.62,40,79,9.78
344,salama,HN,14.8333,-86.5833,89.44,45,70,4.85
345,tublay,PH,16.5431,120.6096,68.31,98,100,2.24
346,kostroma,RU,57.7708,40.9344,58.71,91,87,2.51
348,elmont,US,40.7009,-73.7129,88.5,43,5,4.0
349,yuma,US,32.7253,-114.6244,103.46,23,20,5.93
350,mataro,ES,41.5421,2.4445,77.47,77,0,1.99
351,panay,PH,6.4978,124.6383,74.61,87,100,2.01
352,monchengladbach,DE,51.2,6.4333,62.92,93,20,5.75
353,stende,LV,57.15,22.5333,66.94,98,21,5.3
355,krivogastani,MK,41.3361,21.3331,78.04,32,20,2.82
356,jalpaiguri,IN,26.5167,88.7333,79.74,92,99,8.66
358,karavukovo,RS,45.495,19.1881,77.04,37,78,6.58
359,newtown saint boswells,GB,55.5833,-2.6833,63.28,79,100,2.19
360,carmunnock,GB,55.7906,-4.2358,62.47,77,75,8.05
361,le portel,FR,50.7056,1.5757,63.84,90,10,11.97
362,sona,IT,45.4388,10.8255,69.94,83,20,2.3
363,scafati,IT,40.7528,14.5338,82.78,50,76,3.49
364,murzzuschlag,AT,47.6,15.6833,66.52,85,29,4.21
365,barinitas,VE,8.7622,-70.4111,71.08,56,60,5.19
366,diliman,PH,15.025,120.9502,80.28,95,100,4.97
367,helmdange,LU,49.6872,6.1436,59.83,94,20,1.01
368,kristinehamn,SE,59.3098,14.1081,66.04,97,100,8.84
369,lvov,UA,49.8383,24.0232,71.98,78,0,4.47
370,apad,PH,13.815,122.7664,81.68,85,100,17.69
371,sokolovyy,RU,51.5686,45.8331,61.34,67,34,6.22
372,siraha,NP,26.6541,86.2087,80.91,90,100,1.34
373,vimperk,CZ,49.0586,13.7829,66.29,77,100,2.44
374,hamirpur,IN,25.95,80.15,80.11,88,98,11.97
376,masindi,UG,1.6744,31.715,69.96,58,100,3.33
377,sainte-ode,BE,50.0262,5.5254,58.1,93,100,7.96
378,maturin,VE,9.75,-63.1767,82.63,79,48,7.61
379,corbeanca,RO,44.6,26.05,82.33,48,0,4.61
380,puhja,EE,58.3419,26.3147,69.96,95,100,4.92
381,peleduy,RU,59.6289,112.7406,64.83,72,0,4.36
382,bawana,IN,28.8,77.0333,80.65,75,100,1.1
383,putat,PH,10.7858,123.8469,84.29,77,75,15.03
384,nazareth,IL,32.7036,35.2956,75.6,82,0,5.86
385,nyirmartonfalva,HU,47.5833,21.9,80.13,49,59,4.0
386,lake zurich,US,42.197,-88.0934,85.39,52,1,4.0
387,ladnun,IN,27.65,74.3833,82.76,75,100,17.72
388,valledupar,CO,10.4631,-73.2532,92.48,42,100,3.29
389,andra,RU,62.5147,65.8878,43.38,73,36,6.11
390,new castle,US,41.0037,-80.347,87.3,43,20,9.22
391,potsdam,DE,52.3989,13.0657,72.18,84,60,4.68
393,essen,DE,51.45,7.0167,62.33,92,100,1.01
394,mae tha,TH,18.4646,99.1403,75.79,92,100,1.7
395,bahnea,RO,46.3667,24.4833,72.82,78,14,0.0
397,stavern,NO,59.0,10.0333,65.61,96,100,5.41
398,raymun,JO,32.2834,35.8253,77.83,73,0,5.57
399,honggang,CN,46.4667,124.8667,71.47,93,68,6.15
400,bhandara,IN,21.1667,79.65,77.59,87,100,9.55
401,kuklis,MK,41.4053,22.6653,74.55,49,1,3.49
402,lija,MT,35.9006,14.4464,80.67,65,0,2.3
403,banaba,PH,14.2167,120.85,76.59,91,100,15.19
405,fresnes,FR,48.75,2.3167,64.27,91,75,6.91
407,glenview,US,42.0698,-87.7878,86.27,50,1,1.99
408,bangkok,TH,13.75,100.5167,81.63,81,100,5.93
409,mampong,GH,7.0627,-1.4001,70.12,93,100,4.97
410,koka,HU,47.4855,19.5788,78.28,50,73,4.16
411,paralimni,CY,35.0375,33.9833,83.57,56,0,3.0
412,hyvinkaa,FI,60.6333,24.8667,70.81,61,78,4.76
413,jaguimitan,PH,11.14,122.7236,78.17,81,100,11.9
414,estrella,PH,15.75,121.0333,76.3,96,100,3.4
415,bektemir,UZ,41.2097,69.3342,84.25,24,0,6.91
416,borgaro torinese,IT,45.1483,7.6567,72.54,83,75,4.61
417,sabha,LY,27.0377,14.4283,89.17,18,0,8.95
418,sapul,PH,13.3652,121.1884,79.99,81,100,3.09
419,saint-gabriel,CA,46.3001,-73.3824,66.49,68,98,3.02
420,satao,PT,40.7418,-7.7329,68.04,65,9,5.26
421,hillsdale,US,41.0026,-74.0404,90.09,45,23,3.0
422,westlake village,US,34.1458,-118.8056,79.9,61,9,7.81
423,vastse-kuuste,EE,58.1669,26.9343,69.75,83,100,4.61
424,kalinagar,IN,28.6167,80.1,80.01,90,32,5.84
425,ashbourne,IE,53.5108,-6.4272,57.27,94,75,10.36
426,givors,FR,45.5833,4.7667,69.1,81,72,8.63
427,udgir,IN,18.3833,77.1167,72.52,82,100,16.96
428,lakeside,US,30.13,-81.7682,79.74,91,75,6.91
430,wattegama,LK,6.7989,81.4808,79.11,69,100,6.42
431,proti,GR,40.95,24.0,76.93,37,0,2.08
432,managua,NI,12.1328,-86.2504,90.84,58,20,13.8
433,zacatecoluca,SV,13.5,-88.8667,93.24,58,37,8.9
434,kijang,KR,35.2442,129.2139,76.73,86,3,5.84
435,libusin,CZ,50.1682,14.0546,71.06,74,0,3.44
436,huilong,CN,31.8111,121.655,78.98,95,100,25.88
437,mokhsogollokh,RU,61.4681,128.9203,53.67,77,8,4.85
438,caltagirone,IT,37.2368,14.5126,80.22,34,0,2.33
439,yashkul,RU,46.1711,45.3435,71.62,52,100,7.27
440,gura calitei,RO,45.5833,27.0167,74.71,59,0,4.65
441,tithorea,GR,38.5846,22.6675,77.58,37,0,1.25
442,redwater,US,33.3582,-94.2544,92.43,63,94,2.93
443,kharagpur,IN,22.3333,87.3333,78.91,88,100,11.92
444,nuneaton,GB,52.5232,-1.4652,62.37,93,95,4.36
445,mociu,RO,46.8,24.0333,75.74,54,9,3.51
446,tabon,PH,9.2388,117.9946,79.86,75,76,4.43
447,shrewsbury,GB,52.7101,-2.7521,62.2,90,92,4.41
448,tumbotino,RU,55.9993,43.0236,57.09,73,53,1.28
449,kralovice,CZ,49.9819,13.4875,67.06,77,81,4.54
450,seelze,DE,52.4,9.6,64.85,89,0,2.3
451,armavir,RU,44.9892,41.1234,60.94,73,100,10.8
452,hannibal,US,39.7084,-91.3585,88.97,40,1,4.61
453,macesu de jos,RO,43.8833,23.7167,85.78,35,0,6.58
454,fidenza,IT,44.864,10.0667,71.71,76,50,2.86
455,kercem,MT,36.0419,14.2267,82.08,44,0,1.25
456,tokur,RU,53.1333,132.9,60.03,92,100,2.53
457,dickinson,US,29.4608,-95.0513,91.15,62,1,4.61
458,knappskog,NO,60.3819,5.0558,64.47,49,75,3.44
459,mangusu,PH,7.3256,122.2775,78.03,88,100,4.5
460,hamirpur,IN,25.95,80.15,80.11,88,98,11.97
461,galion,US,40.7337,-82.7899,85.17,54,15,6.69
462,yishui,CN,35.7847,118.6281,74.01,88,99,13.6
464,khalkoutsion,GR,38.3333,23.7333,85.15,29,0,4.0
465,salisbury,GB,51.0693,-1.7957,63.77,86,75,9.22
466,volchansk,RU,59.9378,60.081,46.83,75,86,8.75
468,giaveno,IT,45.047,7.3492,69.3,83,63,4.41
469,trapani,IT,37.8333,12.6667,79.74,57,0,4.61
471,chemodanovka,RU,53.2316,45.2474,64.22,69,47,0.22
472,uhersky ostroh,CZ,48.9856,17.3898,74.62,65,100,4.34
473,dagua,CO,3.6569,-76.6886,74.39,69,99,2.53
474,medveditskiy,RU,50.7852,44.7129,69.69,55,48,5.26
475,chernivtsi,UA,48.2915,25.9403,75.18,73,0,4.16
476,dumas,US,35.8656,-101.9732,90.36,35,1,6.91
477,beroun,CZ,49.9638,14.072,71.91,74,96,2.51
478,barabinsk,RU,55.3571,78.357,58.44,60,100,5.55
479,dmitriyevka,RU,54.75,55.3333,59.49,67,56,6.71
480,dan khun thot,TH,15.2085,101.7714,77.14,81,98,12.95
481,hinckley,GB,52.5389,-1.3761,62.01,93,98,4.09
482,mrgavet,AM,40.0278,44.4825,82.54,39,20,17.27
